training_iteration,env_runners/episode_return_mean
1,NaN
2,NaN
8,NaN
9,NaN
10,-522.5
12,-522.5
15,-522.5
17,-522.5
28,-522.5
29,-511.82608695652175
32,-508.5
34,-508.5
42,-505.25
44,-505.25
45,-505.25
47,-505.25
48,-499.0769230769231
49,-499.0769230769231
53,-502.5
59,-510.72340425531917
61,-508.0833333333333
62,-508.0833333333333
65,-499.62264150943395
68,-489.6
74,-493
75,-492.5245901639344
78,-490.6666666666667
79,-490.6666666666667
86,-490.45714285714286
87,-490.45714285714286
89,-490.3098591549296
95,-489.9220779220779
96,-490.8205128205128
100,-491.7
103,-491.7
105,-494.91764705882355
107,-495.2093023255814
110,-496.6818181818182
113,-496.6818181818182
120,-495.125
121,-495.125
123,-495.125
125,-494.84
134,-500.36464
137,-496.32464
144,-487.96464
148,-491.64464
150,-491.48464
151,-491.48464
154,-494.76464
156,-497.20464
158,-498.20464
162,-495.32464
163,-495.32464
167,-495.36464
168,-497.40464
171,-501.88464
173,-501.88464
175,-502.36464
181,-503.20464
183,-503.20464
186,-502.08464
194,-503.12464
195,-503.12464
196,-502.60464
199,-507.00464
202,-510.84464
204,-513.68464
210,-514.52464
214,-512.36464
215,-512.36464
216,-510.60464
218,-513.96464
220,-513.56464
226,-515.88464
229,-512.28464
233,-503.52464
234,-503.52464
235,-505.20464
237,-505.20464
239,-509.00464
241,-509.00464
242,-509.00464
243,-513.48464
248,-514.16464
249,-514.16464
252,-509.72
254,-510.52
260,-507.12
262,-509.12
266,-508.08
270,-505.36
271,-505.36
273,-499.84
274,-499.84
275,-499.84
280,-504.86144
283,-506.14144
284,-506.14144
293,-504.06144
303,-502.66144
305,-502.66144
312,-513.98144
317,-517.26144
318,-517.26144
321,-513.82144
322,-513.82144
323,-513.82144
324,-513.82144
325,-514.42144
326,-514.42144
328,-514.42144
331,-517.62144
333,-517.62144
338,-519.26144
341,-518.42144
342,-518.42144
345,-513.98144
353,-519.30144
354,-519.30144
355,-527.86144
359,-527.86144
361,-527.66144
363,-526.86144
365,-523.9414400000001
370,-522.02144
371,-518.02144
373,-517.22144
376,-521.70144
384,-527.26144
390,-532.46144
391,-535.02144
397,-532.98144
399,-536.8
402,-533.12
405,-528.16
406,-528.16
407,-528.16
408,-520.24
411,-519.8
413,-520.6
414,-522.56
422,-513.56
426,-510.68
430,-512.6
431,-512.6
432,-513.4
442,-505.68
444,-505.68
445,-505.68
446,-505.68
448,-507.52
451,-505.92
452,-505.12
456,-504.72
457,-508.8
458,-508.8
463,-507.6
469,-502.6
472,-503.28
473,-502.88
480,-504.12
482,-496.84
489,-497.64
491,-494
496,-494.36
498,-491.12
504,-486.28
505,-486.28
506,-486.28
516,-486.48
523,-485.92
527,-484.2
531,-481.64
532,-489.52
535,-489.52
536,-488.84
540,-486.72
542,-488.36
543,-488.36
544,-488.36
548,-492.8
549,-492.8
551,-491.56
552,-490.28
554,-490.28
556,-487.2
560,-484.48
568,-480
569,-480
571,-472.04
574,-472.56
578,-472.24
581,-469.28
584,-466.88
587,-459.96
590,-460.8
594,-465.16
596,-467.28
600,-466.44
601,-466.44
602,-466.44
603,-466.44
606,-471.96
613,-466.4
614,-470.04
615,-469.96
621,-481.66864000000004
628,-491.54864000000003
629,-491.54864000000003
630,-491.54864000000003
631,-493.70864
633,-488.90864
634,-485.62864
636,-485.86864
637,-481.30864
640,-483.94864
641,-482.62864
644,-481.58864
645,-481.46864
648,-484.86864
651,-486.06864
652,-486.06864
657,-485.74864
660,-484.98864000000003
662,-483.90864
665,-487.42864000000003
672,-495.88944000000004
678,-496.84944
681,-500.52944
685,-505.04944
690,-510.52944
693,-515.24944
699,-517.88944
700,-523.2094400000001
701,-522.16944
703,-522.92944
704,-523.76944
707,-530.7294400000001
708,-530.7294400000001
710,-532.28944
711,-532.88944
714,-534.28944
717,-531.88944
720,-528.12944
722,-526.0894400000001
726,-521.92944
728,-523.12944
730,-521.80944
731,-522.36944
750,-511.6608
751,-511.6608
752,-511.62080000000003
758,-509.3808
760,-512.6608
761,-512.6608
763,-511.6608
766,-516.5408
767,-516.5408
768,-516.5408
772,-519.1008
774,-521.1008
775,-519.1808
776,-519.1808
781,-515.3808
789,-504.3408
790,-504.3408
792,-503.12
794,-504.2
798,-500.52
801,-493.6
803,-491.44
807,-493.32
808,-492
810,-489.52
816,-489.32
818,-483.24
819,-483.24
824,-482.68
827,-481.16
829,-479.84
831,-481.08
840,-478.76
841,-482.12
842,-480.88
846,-490.4
847,-490.4
848,-488.4
854,-499.76
859,-499.44
864,-499.52
866,-498.54976000000005
868,-498.54976000000005
873,-501.36368000000004
877,-505.64368
881,-502.68368000000004
883,-505.16368
894,-500.92368000000005
895,-499.96368
897,-499.96368
898,-505.64368
901,-511.56368000000003
902,-511.56368000000003
909,-520.04368
910,-520.04368
917,-522.2036800000001
919,-522.32368
922,-520.76368
923,-520.56368
931,-525.68368
933,-526.2036800000001
939,-531.64368
942,-532.16368
943,-531.36368
945,-531.0836800000001
947,-531.0836800000001
949,-531.52368
957,-528.12368
960,-528.8436800000001
965,-522.2184000000001
966,-522.2184000000001
969,-514.6984
975,-502.61839999999995
978,-507.45840000000004
980,-510.8984
981,-510.8984
982,-510.53839999999997
984,-513.2984
986,-513.2984
987,-513.2984
993,-506.57472
995,-507.13472
996,-507.13472
998,-503.93472
999,-502.61472000000003
1001,-501.41472
1005,-508.13472
1016,-513.01472
1018,-513.97472
1019,-513.65472
1020,-513.65472
1021,-509.13472
1025,-504.09472
1032,-496.81472
1033,-501.34896000000003
1036,-503.46896
1039,-501.90896
1041,-501.90896
1042,-503.94896
1043,-503.94896
1046,-501.38896
1049,-500.94896
1051,-500.94896
1054,-501.98896
1059,-497.78896000000003
1060,-497.78896000000003
1062,-496.82896
1069,-486.14896
1075,-486.50896
1077,-486.50896
1080,-489.82896
1083,-489.02896
1084,-491.10896
1085,-489.21424
1087,-489.21424
1088,-485.73424
1092,-489.85424
1094,-492.01424
1097,-492.05424
1100,-483.37424
1104,-489.13424
1107,-489.49424
1108,-489.53424
1115,-492.65424
1116,-492.65424
1119,-498.6864
1120,-498.6864
1122,-502.2864
1124,-501.4864
1126,-501.3264
1133,-495.7264
1134,-494.1664
1137,-495.4064
1140,-505.9264
1143,-505.8464
1146,-507.9664
1163,-519.87216
1165,-517.43216
1166,-517.43216
1167,-513.03216
1172,-510.07216
1173,-508.23216
1174,-506.23216
1179,-510.07216
1182,-508.55216
1183,-502.23216
1186,-501.87216
1187,-497.75216
1189,-502.47216000000003
1195,-502.95216
1198,-497.63216
1199,-497.63216
1210,-490.63216
1211,-493.63216
1214,-494.79216
1216,-494.79216
1217,-502.75216
1220,-504.55216
1223,-502.95216
1227,-504.63216
1229,-503.55216
1231,-506.43216
1233,-505.55216
1235,-505.15216
1246,-505.48
1250,-495.28
1251,-494.72
1252,-494.72
1253,-491.68
1254,-492.8
1255,-492.8
1257,-489.48
1258,-489.48
1267,-487.64
1270,-484.72
1271,-483.52
1272,-483.52
1277,-479.13919999999996
1289,-482.81919999999997
1292,-482.4192
1293,-481.6592
1294,-483.81919999999997
1296,-485.81919999999997
1299,-487.93919999999997
1300,-484.3392
1302,-484.3392
1304,-498.01919999999996
1306,-502.81919999999997
1310,-500.57919999999996
1312,-500.57919999999996
1313,-503.13919999999996
1314,-501.2992
1318,-506.69919999999996
1320,-508.2192
1325,-515.1792
1328,-516.8192
1329,-516.8192
1339,-511.0992
1340,-511.4992
1341,-510.1792
1343,-508.0592
1350,-509.01919999999996
1354,-505.0992
1360,-506.69919999999996
1364,-505.01919999999996
1366,-506.6192
1367,-506.6192
1371,-509.1792
1372,-510.5392
1378,-513.4191999999999
1380,-507.81919999999997
1381,-503.13919999999996
1382,-503.5392
1389,-499.6192
1390,-499.7392
1396,-498.04
1398,-498.04
1400,-498.84
1402,-498.04
1406,-495.16
1411,-499.16
1416,-503.08
1417,-503.08
1419,-500.64
1420,-497.24
1422,-497.65936
1426,-491.09936
1427,-491.09936
1431,-490.13936
1433,-493.05936
1434,-493.05936
1435,-499.01936
1440,-496.73936000000003
1448,-506.21936
1453,-505.53936
1456,-512.53936
1457,-512.53936
1458,-512.53936
1462,-504.05936
1465,-503.69936
1467,-506.97936000000004
1468,-506.97936000000004
1469,-511.17936000000003
1473,-504.85936000000004
1474,-504.85936000000004
1476,-503.73936000000003
1480,-504.57936
1483,-500.49936
1489,-494.81936
1490,-496.21936
